Word,ExcludedSenses,WordnetSenses,WordnetSubsenses,Notes,Examples,Syntax1,Syntax2,Syntax3,Semantics1,Semantics2,Semantics3,ThRole1,ThRole2,ThRole3
brush,#,2 4,#,#,Kim brushed against the wall,NP,PP,#,physobj,physobj,#,EFNT,PTNT,
brush,#,3 5,#,#,Kim brushed the crumbs from the floor/Kim brushed the floor,NP,NP,Adj,sentient,location,#,AGNT,LOC,
brush,#,3 5,#,#,Kim brushed the crumbs from the floor/Kim brushed the floor,NP,NP,PP(from),sentient,physobj,location,AGNT,THME,LOC
brush,#,3 5,#,#,Kim brushed the crumbs from the floor/Kim brushed the floor,NP,NP,#,sentient,location,#,AGNT,LOC,
brush,#,NIWN1,#,#,Kim brushed milk on the pastry/Kim brushed the pastry with milk,NP,NP,PP,sentient,physobj,location,AGNT,THME,LOC
brush,#,NIWN1,#,#,Kim brushed milk on the pastry/Kim brushed the pastry with milk,NP,NP,PP(with),animate,location,*,EFNT,LOC,THME
brush,#,NIWN1,#,#,Kim brushed milk on the pastry/Kim brushed the pastry with milk,NP,NP,#,sentient,location,#,AGNT,LOC,
bubble,#,1 3,#,#,The cauldron bubbled,NP,PP,#,liquid,physobj,#,EFNT,THME,
bubble,#,1 3,#,#,The cauldron bubbled,NP,#,#,physobj,#,#,THME,#,
bubble,#,2,#,#,The stream bubbled,NP,#,#,physobj,#,#,EFNT,#,
budge,#,1,#,#,Kim budged her chair from its spot/Kim's chair budged,NP,NP,PP(from),*,*,location,EFNT,THME,LOC
buff,#,1,#,#,Kim buffed the stains from the table,NP,NP,Adj,sentient,location,#,AGNT,LOC,
buff,#,1,#,#,Kim buffed the stains from the table,NP,NP,#,sentient,location,#,AGNT,LOC,
buff,#,1,#,#,Kim buffed the stains from the table,NP,NP,PP(from),sentient,physobj,location,AGNT,THME,LOC
bug,#,1,#,#,Spiders bug Kim,NP,NP,#,*,sentient,#,Experienced,EXPR,
bug,#,2,#,#,The police bugged the building,NP,NP,#,sentient,location,#,AGNT,LOC,
build,3,1 2 4,#,sense 3 = specialized,Kim built a bookshelf for Mary,NP,NP,PP(for),sentient,physobj,*,AGNT,RSLT,RCPT
build,3,1 2 4,#,sense 3 = specialized,Kim built a bookshelf for Mary,NP,#,#,sentient,#,#,AGNT,#,
build,3,1 2 4,#,sense 3 = specialized,Kim built a bookshelf for Mary,NP,NP,#,sentient,physobj,#,AGNT,RSLT,
build,3,1 2 4,#,sense 3 = specialized,Kim built a bookshelf for Mary,NP,NP,PP(into),sentient,subst,physobj,AGNT,MATR,RSLT
build,3,1 2 4,#,sense 3 = specialized,Kim built a bookshelf for Mary,NP,NP,#,sentient,subst,#,AGNT,MATR,
build,3,1 2 4,#,sense 3 = specialized,Kim built a bookshelf for Mary,NP,NP,NP,sentient,*,physobj,AGNT,RCPT,RSLT
bulge,#,1 2 4,#,#,Kim's pockets bulged (with papers),NP,#,#,physobj,#,#,PTNT,#,
bulge,#,1 2 4,#,#,Kim's pockets bulged (with papers),NP,PP,#,physobj,location,#,PTNT,LOC,
bulge,#,1 2 4,#,#,Kim's pockets bulged (with papers),NP,PP(with),#,location,physobj,#,LOC,PTNT,
bulge,#,3,#,#,The children's eyes bulged,NP,#,#,bodypart,#,#,THME,#,
bully,#,1 2,#,#,Mary bullied Kim,NP,NP,#,sentient,sentient,#,AGNT,PTNT,
bundle,4,1 2,#,sense 4 excluded as obscure,Kim bundled her papers with the rest,NP,NP,PP(with),sentient,physobj,physobj,AGNT,THME,THME
bundle,4,1 2,#,sense 4 excluded as obscure,Kim bundled her papers with the rest,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
bundle,4,3,#,#,Kim bundled the packages onto the cart,NP,NP,PP,sentient,physobj,location,AGNT,THME,LOC
burden,#,1 2,#,#,Kim burdened Mary with the task,NP,NP,PP(with),sentient,sentient,*,AGNT,RCPT,THME
burn,6 9 11 12,1 3 5 7 10 13,#,senses excluded: 6 9 11 12 as obscure/rare,Kim burnt the letters/The letters burnt,NP,#,#,physobj,#,#,PTNT,#,
burn,6 9 11 12,1 3 5 7 10 13,#,senses excluded: 6 9 11 12 as obscure/rare,Kim burnt the letters/The letters burnt,NP,NP,#,*,physobj,#,EFNT,PTNT,
burn,6 9 11 12,2,#,#,A light burned,NP,#,#,physobj,#,#,EFNT,#,
burn,6 9 11 12,4,#,#,Kim burnt her fingers,NP,NP,#,animate,bodypart,#,EFCT,PTNT,
burn,6 9 11 12,8,#,#,They burnt the witch,NP,NP,#,sentient,sentient,#,AGNT,THME,
burst,#,1 2 3 4 6,#,#,Kim burst the balloon/The balloon burst,NP,#,#,physobj,#,#,PTNT,#,
burst,#,1 2 3 4 6,#,#,Kim burst the balloon/The balloon burst,NP,NP,#,*,physobj,#,EFNT,PTNT,
burst,#,5,#,I suspect that this sense is phrasal,The sun burst (out) from behind the clouds,NP,PP,#,*,location,#,EFNT,LOC,
bus,3,1,#,#,Kim bussed the parcel to work,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
bus,3,2,#,#,Kim bussed to work,NP,#,#,sentient,#,#,AGNT,#,
busy,#,1,#,#,Kim busied herself with her cleaning,NP,NPrefl,PP(with),sentient,sentient,*,EXPR,EXPR,THME
butter,#,1,#,#,Kim buttered the bread,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
button,#,1 2,#,#,Kim buttoned her jacket shut,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
button,#,1 2,#,#,Kim buttoned her jacket shut,NP,NPcoll,#,sentient,physobj,#,AGNT,THME,
button,#,1 2,#,#,Kim buttoned her jacket shut,NP,NP,Adj,sentient,physobj,*,AGNT,THME,RSLT
buy,4,1,2 3,"sense 4 = believe sense, excluded as too informal",Kim bought a new car,NP,NP,#,sentient,*,#,AGNT,PTNT,
buzz,#,1 2 3 4,#,I have treated all senses as sound emission senses,The buzzer buzzed,NP,#,#,physobj,#,#,EFNT,#,
cable,2,1,#,#,Kim cabled John the news,NP,NP,PP(to),sentient,info,sentient,AGNT,Said,Addressee
cable,2,1,#,#,Kim cabled John the news,NP,VPinf,#,sentient,*,#,AGNT,RSLT,
cable,2,1,#,#,Kim cabled John the news,NP,Scomp,#,sentient,info,#,AGNT,Said,
cable,2,1,#,#,Kim cabled John the news,NP,NP,#,sentient,sentient,#,AGNT,Addressee,
cable,2,1,#,#,Kim cabled John the news,NP,NP,#,sentient,info,#,AGNT,said,
cable,2,1,#,#,Kim cabled John the news,NP,NP,NP,sentient,sentient,info,AGNT,Addressee,Said
cable,2,1,#,#,Kim cabled John the news,NP,#,#,sentient,#,#,AGNT,#,
cage,#,1,#,#,The trainer caged the tiger,NP,NP,#,sentient,physobj,#,AGNT,THME,
call,7 9 10 11 12 13,1 2,#,phrasals eg  call for and call on not dealt with here,Kim called her dog Rover,NP,NP,NP,sentient,*,*,AGNT,RCPT,THME
call,7 9 10 11 12 13,3 8,#,#,Kim called the doctor,NP,NP,#,sentient,sentient,#,AGNT,Addressee,
call,7 9 10 11 12 13,3 8,#,#,Kim called the doctor,NP,#,#,sentient,#,#,AGNT,#,
call,7 9 10 11 12 13,4,#,#,Kim called her reply,NP,NP,#,sentient,info,#,AGNT,said,
call,7 9 10 11 12 13,4,#,#,Kim called her reply,NP,#,#,sentient,#,#,AGNT,#,
call,7 9 10 11 12 13,4,#,#,Kim called her reply,NP,PP(to),#,sentient,sentient,#,AGNT,Addressee,
call,7 9 10 11 12 13,4,#,#,Kim called her reply,NP,NP,PP(to),sentient,info,sentient,AGNT,Said,Addressee
call,7 9 10 11 12 13,4,#,#,Kim called her reply,NP,Scomp,#,sentient,info,#,AGNT,Said,
call,7 9 10 11 12 13,4,#,#,Kim called her reply,NP,PP(to),Scomp,sentient,sentient,info,AGNT,Addressee,Said
call,7 9 10 11 12 13,5 6,#,#,Kim called a meeting,NP,NP,#,sentient,*,#,AGNT,PTNT,
calm,#, 1 4 3,2, 2 is a subsense of 1, The music calmed Kim,NP,#,#,*,#,#,Experienced,#,
calm,#, 1 4 3,2, 2 is a subsense of 1, The music calmed Kim,NP,NP,#,*,sentient,#,Experienced,EXPR,
camp,2,1,#,sense 2 excluded as phrasal - camp up,Kim camped in the woods,NP,PP,#,sentient,location,#,PTNT,LOC,
camp,2,1,#,sense 2 excluded as phrasal - camp up,Kim camped in the woods,NP,PP(with),#,sentient,sentient,#,AGNT,PTNT,
can,#,3,#,senses 1 2 excluded as modals,This factory cans fruit,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
canvass,#,1 2,#,#,Kim canvasses the district for votes,NP,NP,#,sentient,location,#,AGNT,LOC,
canvass,#,1 2,#,#,Kim canvasses the district for votes,NP,NP,PP(for),sentient,location,*,AGNT,LOC,THME
captain,#,1,#,#,Kim captained the basketball team,NP,NP,#,sentient,sentient,#,AGNT,PTNT,
capture,1,2,#,#,The show captured the audience,NP,NP,#,*,sentient,#,Experienced,EXPR,
capture,1,3 4 5 6,#,sense 1 excluded as rare,Kim captured the bird,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
capture,1,3 4 5 6,#,sense 1 excluded as rare,Kim captured the bird,NP,NP,PP(from),sentient,physobj,sentient,AGNT,PTNT,SRCE
capture,1,3 4 5 6,#,sense 1 excluded as rare,Kim captured the bird,NP,NP,PP(from),sentient,physobj,location,AGNT,PTNT,LOC
care,#,1 2,#,#,Kim cares about Mary,NP,#,#,sentient,#,#,EXPR,#,
care,#,1 2,#,#,Kim cares about Mary,NP,PP(about),#,sentient,*,#,EXPR,Experienced,
care,#,1 2,#,#,Kim cares about Mary,NP,PP(for),#,sentient,*,#,EXPR,Experienced,
carol,#,1,#,#,Kim carolled her news,NP,NP,#,sentient,info,#,AGNT,said,
carol,#,1,#,#,Kim carolled her news,NP,NP,PP(to),sentient,info,sentient,AGNT,Said,Addressee
carol,#,1,#,#,Kim carolled her news,NP,PP(to),#,sentient,sentient,#,AGNT,Addressee,
carol,#,1,#,#,Kim carolled her news,NP,#,#,sentient,#,#,AGNT,#,
carol,#,1,#,#,Kim carolled her news,NP,Scomp,#,sentient,info,#,AGNT,Said,
carol,#,1,#,#,Kim carolled her news,NP,PP(to),Scomp,sentient,sentient,info,AGNT,Addressee,Said
carpet,#,1 2,#,#,Kim carpetted the lounge,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
carpet,#,1 2,#,#,Kim carpetted the lounge,NP,NP,#,*,location,#,THME,LOC,
carry,7 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25,1 2 3 4 5 6 8 9 26,#,senses 7 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 excluded as obscure or phrasal,Kim carried the parcel to work,NP,NP,PP(to),*,*,*,AGNT,THME,DEST
carry,7 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25,1 2 3 4 5 6 8 9 26,#,senses 7 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 excluded as obscure or phrasal,Kim carried the parcel to work,NP,NP,#,*,*,#,AGNT,THME,
carry,7 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25,15,#,#,Kim carried herself with dignity,NP,NPrefl,PP(with),sentient,sentient,*,EXPR,EXPR,THME
cart,#,1,#,#,Kim carted her bags (across town),NP,NP,#,animate,physobj,#,AGNT,PTNT,
cart,#,1,#,#,Kim carted her bags (across town),NP,NP,PP,animate,physobj,location,AGNT,PTNT,PATH
cart,#,2,#,#,Kim carted the parcel to work,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
cascade,#,1,#,#,The waterfall cascaded down the mountainside,NP,#,#,physobj,#,#,PTNT,#,
cascade,#,1,#,#,The waterfall cascaded down the mountainside,NP,PP,#,physobj,location,#,PTNT,LOC,
cash,#,1,#,#,Kim cashed her check,NP,NP,#,sentient,*,#,AGNT,PTNT,
catch,#,1 2 3 4 5 6 7 8 9 10 11 13 15,#,#,Kim caught the ball,NP,NP,#,sentient,*,#,AGNT,PTNT,
catch,#,12 14,#,#,Kim caught the show (on TV),NP,NP,#,sentient,*,#,EXPR,Experienced,
cause,#,1 2,#,#,The dry weather caused the fire,NP,NP,#,*,*,#,EFNT,FORM,
caution,#,1,#,#,Kim cautioned Mary,NP,NP,#,sentient,sentient,#,AGNT,Addressee,
caution,#,1,#,#,Kim cautioned Mary,NP,NP,Scomp,sentient,sentient,*,AGNT,Addressee,Said
caution,#,1,#,#,Kim cautioned Mary,NP,Scomp,#,sentient,*,#,AGNT,Said,
caution,#,1,#,#,Kim cautioned Mary,NP,PP,#,sentient,*,#,AGNT,Said,
caution,#,1,#,#,Kim cautioned Mary,NP,NP,PP(of),sentient,sentient,*,AGNT,Addressee,Said
cease,#,1 2,#,#,They ceased (the) fighting/The fighting ceased,NP,#,#,*,#,#,THME,#,
cease,#,1 2,#,#,They ceased (the) fighting/The fighting ceased,NP,Ving,#,*,action,#,EFNT,THME,
cease,#,1 2,#,#,They ceased (the) fighting/The fighting ceased,NP,#,#,*,#,#,AGNT,#,
cease,#,1 2,#,#,They ceased (the) fighting/The fighting ceased,NP,NP,#,sentient,*,#,AGNT,THME,
cement,#,1 3,#,#,Kim cemented the plaque to the wall,NP,NP,Adj,sentient,physobj,*,AGNT,THME,RSLT
cement,#,1 3,#,#,Kim cemented the plaque to the wall,NP,NPcoll,#,sentient,physobj,#,AGNT,THME,
cement,#,1 3,#,#,Kim cemented the plaque to the wall,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
cement,#,2,#,#,Kim cemented the deck,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
certify,#,1 2 3 4 5,#,#,Kim certified the document as valid/Kim certified that the document was valid/Kim certified the document to be valid,NP,Scomp(that),#,sentient,*,#,AGNT,THME,
certify,#,1 2 3 4 5,#,#,Kim certified the document as valid/Kim certified that the document was valid/Kim certified the document to be valid,NP,NP,VPinf,sentient,*,*,AGNT,RCPT,THME
certify,#,1 2 3 4 5,#,#,Kim certified the document as valid/Kim certified that the document was valid/Kim certified the document to be valid,NP,NP,PP(as),sentient,*,*,AGNT,THME,THME
chain,#,1,#,#,Kim chained the chair to the floor,NP,NP,Adj,sentient,physobj,*,AGNT,THME,RSLT
chain,#,1,#,#,Kim chained the chair to the floor,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
chain,#,1,#,#,Kim chained the chair to the floor,NP,NPcoll,#,sentient,physobj,#,AGNT,THME,
chair,#,1 2 3,#,#,Kim chaired the meeting,NP,NP,#,sentient,*,#,AGNT,RSLT,
challenge,#,1 4,#,#,Kim challenged the decision,NP,NP,#,sentient,abstract,#,AGNT,THME,
challenge,#,2 3,#,#,Kim challenged Mary,NP,NP,#,sentient,animate,#,AGNT,PTNT,
change,8,1 2 3,#,#,Kim changed her timetable/Kim's timetable changed,NP,#,#,*,#,#,PTNT,#,
change,8,1 2 3,#,#,Kim changed her timetable/Kim's timetable changed,NP,NP,#,*,*,#,EFNT,PTNT,
change,8,4,#,#,Kim changed the dress for a skirt,NP,NP,PP(for),sentient,physobj,physobj,AGNT,PTNT,PTNT
change,8,5,#,#,Kim changed (her clothes),NP,#,#,sentient,#,#,AGNT,#,
change,8,5,#,#,Kim changed (her clothes),NP,NPrefl,#,sentient,sentient,#,AGNT,THME,
change,8,6 7,#,#,Kim changed the bedroom into an office,NP,NP,PP(into),sentient,*,*,AGNT,PTNT,RSLT
change,8,9,#,Inchoative alternation in this class excluded for this sense,Kim changed the baby/Kim changed her tire,NP,NP,#,*,physobj,#,EFNT,PTNT,
channel,#,1 2 3,#,#,Kim channeled the water into the basin,NP,NP,PP,sentient,physobj,location,AGNT,Moved,DEST
char,#,1 2,#,#,The barbecue charred the sausages/ The sausages charred,NP,#,#,physobj,#,#,PTNT,#,
char,#,1 2,#,#,The barbecue charred the sausages/ The sausages charred,NP,NP,#,*,physobj,#,EFNT,PTNT,
characterize,1 2 3 4,NIWN1,#,senses 1 2 3 4 excluded as unlikely,Kim characterized Mary as a heroine,NP,NP,PP(as),sentient,*,*,AGNT,THME,THME
charge,12 13 14,1 5 6 10,#,#,The police charged Kim (with theft) / The police charged that Kim was guilty of theft,NP,NP,PP(with),sentient,sentient,*,AGNT,TELC,THME
charge,12 13 14,1 5 6 10,#,#,The police charged Kim (with theft) / The police charged that Kim was guilty of theft,NP,Scomp(that),#,sentient,*,#,AGNT,THME,
charge,12 13 14,1 5 6 10,#,#,The police charged Kim (with theft) / The police charged that Kim was guilty of theft,NP,NP,#,sentient,sentient,#,AGNT,TELC,
charge,12 13 14,2 9,#,#,The garage charged Kim a fortune,NP,NP,NP,sentient,sentient,money,AGNT,RCPT,THME
charge,12 13 14,2 9,#,#,The garage charged Kim a fortune,NP,NP,#,sentient,sentient,#,AGNT,RCPT,
charge,12 13 14,3 4,#,"12 covers charge purchase to plastic sense  This is rare enough to be excluded in Brit English, but what about AmEng?",Kim charged along the road,NP,#,#,animate,#,#,AGNT,#,
charge,12 13 14,7 11 17,#,#,Kim charged her neighbours with taking care of her plants,NP,NP,PP(with),sentient,sentient,*,AGNT,RCPT,THME
charge,12 13 14,8 15 16,18,#,Kim charged her gun with pellets,NP,NP,#,*,location,#,THME,LOC,
charge,12 13 14,8 15 16,18,#,Kim charged her gun with pellets,NP,NP,PP(with),animate,location,*,EFNT,LOC,THME
charm,2, 1 3 4,#," this member of amuse psych verbs allows optional PP(into) Ving, as do a number of others: confuse, dazzle, flatter, frighten, harass and others -POSsible subclass? or a different sense?", His smile charmed Kim (into believing him),NP,NP,#,*,sentient,#,Experienced,EXPR,
chase,3 4,1,2,"sense 2 = woo subsense

senses 3 4  excluded as specialized",The dog chased the ball,NP,NP,#,sentient,physobj,#,AGNT,THME,
cheat,#,1 2 3,#,#,The boss cheated Kim of her promotion,NP,NP,#,*,sentient,#,Experienced,EXPR,
cheat,#,1 2 3,#,#,The boss cheated Kim of her promotion,NP,NP,PP(of),*,sentient,abstract,Experienced,EXPR,THME
check,11 12 13 15 17 18,1 2 5,#,senses 11 12 13 15 17 18,Kim checked her schedule,NP,NP,#,sentient,*,#,AGNT,PTNT,
check,11 12 13 15 17 18,3 16,7,#,Kim checked that she was right/Kim checked whether she was right,NP,Scomp(that),#,sentient,*,#,EXPR,THME,
check,11 12 13 15 17 18,3 16,7,#,Kim checked that she was right/Kim checked whether she was right,NP,NP,#,sentient,*,#,EXPR,THME,
check,11 12 13 15 17 18,3 16,7,#,Kim checked that she was right/Kim checked whether she was right,NP,Swh,#,sentient,info,#,AGNT,PTNT,
check,11 12 13 15 17 18,4 8 9 10 14,#,#,The new measures checked inflation,NP,NP,#,*,*,#,EFNT,PTNT,
check,11 12 13 15 17 18,6,#,#,Kim checked the barometer,NP,PP,#,animate,physobj,#,EFNT,PATH,
cheer,#,1,5," I am treating 5 as a subsense of 1, because it can, optionally, involve actual shouting in this sense", The crowd cheered (Kim),NP,#,#,sentient,#,#,AGNT,#,
cheer,#,1,5," I am treating 5 as a subsense of 1, because it can, optionally, involve actual shouting in this sense", The crowd cheered (Kim),NP,NP,#,sentient,*,#,AGNT,THME,
cheer,#, 2 3 4,#," causative-inchoative  I'd like to account for the phrasal (cheer up) but WordNet does not, and the IBM word is cheer (on its own) ", His encouraging words cheered Kim (up),NP,#,#,sentient,#,#,EXPR,#,
cheer,#, 2 3 4,#," causative-inchoative  I'd like to account for the phrasal (cheer up) but WordNet does not, and the IBM word is cheer (on its own) ", His encouraging words cheered Kim (up),NP,PP(at),#,sentient,*,#,EXPR,Experienced,
cheer,#, 2 3 4,#," causative-inchoative  I'd like to account for the phrasal (cheer up) but WordNet does not, and the IBM word is cheer (on its own) ", His encouraging words cheered Kim (up),NP,NP,#,*,sentient,#,Experienced,EXPR,
choose,#,1 2 3,#,#,Kim chose a red dress/Kim chose to wear a red dress,NP,NP,#,sentient,*,#,AGNT,PTNT,
choose,#,1 2 3,#,#,Kim chose a red dress/Kim chose to wear a red dress,NP,VPinf,#,*,action,#,AGNT,THME,
choose,#,NIWN1,#,#,Kim chose Mary as her companion,NP,NP,PP(as),sentient,*,*,AGNT,THME,THME
christen,#,1,#,#,The parents christened the baby Mary,NP,NP,NP,sentient,*,*,AGNT,RCPT,THME
chrome,#,1 2,#,#,They chromed the faucets,NP,NP,#,sentient,physobj,#,AGNT,PTNT,
chuck,3 4,1 2,#,snses 3 and 4 = obscure and phrasal,Kim chucked the ball to Mary/over the wall,NP,NP,PP,sentient,physobj,sentient,AGNT,THME,RCPT
chuck,3 4,1 2,#,snses 3 and 4 = obscure and phrasal,Kim chucked the ball to Mary/over the wall,NP,NP,#,sentient,physobj,#,AGNT,THME,
chuck,3 4,1 2,#,snses 3 and 4 = obscure and phrasal,Kim chucked the ball to Mary/over the wall,NP,NP,PP,sentient,physobj,location,AGNT,THME,Path
chuck,3 4,1 2,#,snses 3 and 4 = obscure and phrasal,Kim chucked the ball to Mary/over the wall,NP,NP,PP,sentient,physobj,location,AGNT,THME,Goal
claim,5,1 4,#,#,Kim claimed that she was innocent/ Kim claimed her innocence,NP,Scomp,#,sentient,info,#,AGNT,Said,
claim,5,1 4,#,#,Kim claimed that she was innocent/ Kim claimed her innocence,NP,PP(to),Scomp,sentient,sentient,info,AGNT,Addressee,Said
claim,5,1 4,#,#,Kim claimed that she was innocent/ Kim claimed her innocence,NP,NP,PP(to),sentient,info,sentient,AGNT,Said,Addressee
claim,5,1 4,#,#,Kim claimed that she was innocent/ Kim claimed her innocence,NP,NP,#,sentient,info,#,AGNT,said,
claim,5,2 3,#,#,Kim claimed $50 from the insurance company,NP,NP,PP(from),*,*,*,EFNT,FORM,SRCE
claim,5,2 3,#,#,Kim claimed $50 from the insurance company,NP,NP,#,*,*,#,EFNT,FORM,
clamp,2,1,#,sense 2 = phrasal - clamp down,Kim clamped the chair to the floor,NP,NPcoll,#,sentient,physobj,#,AGNT,THME,
clamp,2,1,#,sense 2 = phrasal - clamp down,Kim clamped the chair to the floor,NP,NP,Adj,sentient,physobj,*,AGNT,THME,RSLT
clamp,2,1,#,sense 2 = phrasal - clamp down,Kim clamped the chair to the floor,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
clap,1,2 3 4 5,#,sense 1 excluded as informal and rare,Kim clapped her hands,NP,NP,#,animate,bodypart,#,EFNT,THME,
clap,1,2 3 4 5,#,sense 1 excluded as informal and rare,Kim clapped her hands,NP,#,#,animate,#,#,EFNT,#,
clap,1,6 7,#,#,Kim clapped Mary on the back,NP,NP,PP,sentient,animate,location,AGNT,PTNT,LOC
clash,#,3,1 2,"I have included 2 and 3 as subsenses - colours, ideas clashing etc ",Kim clashed with Mary/Kim and Mary clashed,NP,PP(with),PP(about),sentient,sentient,*,AGNT,Addressee,Said
clash,#,3,1 2,"I have included 2 and 3 as subsenses - colours, ideas clashing etc ",Kim clashed with Mary/Kim and Mary clashed,NP,PP(with),#,sentient,sentient,#,AGNT,Addressee,
clash,#,3,1 2,"I have included 2 and 3 as subsenses - colours, ideas clashing etc ",Kim clashed with Mary/Kim and Mary clashed,NP,#,#,sentient,#,#,AGNT,#,
class,#,1,#,#,Kim classed Mary as her best friend,NP,NP,PP(as),sentient,*,*,AGNT,THME,THME
classify,2,1,#,sense 2 restricted,Kim classified Mary as her best friend,NP,NP,PP(as),sentient,*,*,AGNT,THME,THME
clean,#,1 5,#,#,Kim cleaned the oven/The oven cleaned easily,NP,NP,#,*,physobj,#,EFNT,PTNT,
clean,#,1 5,#,#,Kim cleaned the oven/The oven cleaned easily,NP,Adv,#,physobj,#,#,PTNT,#,
clean,#,2 6 7,8 9,8 9 are subsenses of 2,Kim cleaned the stains from the carpet,NP,NP,PP(of),sentient,location,subst,AGNT,LOC,PTNT
clean,#,2 6 7,8 9,8 9 are subsenses of 2,Kim cleaned the stains from the carpet,NP,NP,#,sentient,location,#,AGNT,LOC,
clean,#,2 6 7,8 9,8 9 are subsenses of 2,Kim cleaned the stains from the carpet,NP,NP,PP(from),sentient,subst,location,AGNT,PTNT,LOC
clean,#,3,#,#,Kim cleaned the house for mary,NP,NP,PP(for),sentient,physobj,*,AGNT,RSLT,RCPT
clean,#,3,#,#,Kim cleaned the house for mary,NP,NP,#,sentient,physobj,#,AGNT,RSLT,
clean,#,4,#,#,Kim cleaned her teeth,NP,NP,#,animate,bodypart,#,AGNT,PTNT,
clear,7 10 11 12 13 16 17,1,#,#,The police cleared the road/The road cleared,NP,#,#,physobj,#,#,PTNT,#,
clear,7 10 11 12 13 16 17,1,#,#,The police cleared the road/The road cleared,NP,NP,#,*,physobj,#,EFNT,PTNT,
clear,7 10 11 12 13 16 17,14,#,#,Kim cleared the garage for Mary,NP,NP,#,sentient,physobj,#,AGNT,RSLT,
clear,7 10 11 12 13 16 17,14,#,#,Kim cleared the garage for Mary,NP,NP,PP(for),sentient,physobj,*,AGNT,RSLT,RCPT
clear,7 10 11 12 13 16 17,15,#,#,The court cleared Kim of fraud,NP,NP,#,*,sentient,#,Experienced,EXPR,
clear,7 10 11 12 13 16 17,15,#,#,The court cleared Kim of fraud,NP,NP,PP(of),*,sentient,abstract,Experienced,EXPR,THME
clear,7 10 11 12 13 16 17,2 5,#,#,Kim cleared snow from the path,NP,NP,PP(of),sentient,location,subst,AGNT,LOC,PTNT
clear,7 10 11 12 13 16 17,2 5,#,#,Kim cleared snow from the path,NP,NP,#,sentient,location,#,AGNT,LOC,
clear,7 10 11 12 13 16 17,2 5,#,#,Kim cleared snow from the path,NP,NP,PP(from),sentient,subst,location,AGNT,PTNT,LOC
clear,7 10 11 12 13 16 17,3 8,#,#,"Later that day, it cleared",NP,#,#,it,#,#,NOTHETA,#,
clear,7 10 11 12 13 16 17,4 6 9,#,#,The apology cleared Kim's conscience/Kim's conscience cleared,NP,NP,#,*,*,#,EFNT,PTNT,
clear,7 10 11 12 13 16 17,4 6 9,#,#,The apology cleared Kim's conscience/Kim's conscience cleared,NP,#,#,*,#,#,PTNT,#,
clerk,#,1,#,I suspect this class could be subdivided into those taking PP(for) + those taking NP ,Mary clerked for Kim,NP,PP(for),#,sentient,sentient,#,AGNT,PTNT,
click,1,2 3 5 6,#,sense 1 excluded as obscure,The handle clicked,NP,#,#,physobj,#,#,EFNT,#,
click,1,4,#,#,Kim clicked her fingers,NP,NP,#,animate,bodypart,#,EFNT,THME,
click,1,7,#,#,Kim clicked with Mary/Kim and Mary clicked,NP,#,#,sentient,#,#,AGNT,#,
click,1,7,#,#,Kim clicked with Mary/Kim and Mary clicked,NP,PP(with),#,sentient,sentient,#,AGNT,Addressee,
click,1,7,#,#,Kim clicked with Mary/Kim and Mary clicked,NP,PP(with),PP(about),sentient,sentient,*,AGNT,Addressee,Said
climb,#,1 3,#,#,Kim climbed the stairs / Kim climbed up the stairs,NP,#,#,animate,#,#,EFNT,#,
climb,#,2 4,#,#,The price of fish climbed steadily,NP,PP(in),#,*,value,#,THME,MED,
climb,#,2 4,#,#,The price of fish climbed steadily,NP,#,#,*,#,#,EFNT,#,
climb,#,NIWN1,#,no actual movement,The road climbed steeply,NP,PP,#,physobj,location,#,THME,PATH,
clip,2,1 4,5,"sense 2 omitted as obscure

sense 5 included as figurative subsense",Kim clipped the hedge with her shears,NP,NP,#,sentient,physobj,#,AGNT,THME,
clip,2,1 4,5,"sense 2 omitted as obscure

sense 5 included as figurative subsense",Kim clipped the hedge with her shears,NP,NP,PP(with),sentient,physobj,physobj,AGNT,THME,INST
clip,2,1 4,5,"sense 2 omitted as obscure

sense 5 included as figurative subsense",Kim clipped the hedge with her shears,NP,Adv,#,physobj,#,#,THME,#,
clip,2,3,#,#,Kim clipped the message to her calendar,NP,NP,PP(to),sentient,physobj,location,AGNT,THME,LOC
clip,2,3,#,#,Kim clipped the message to her calendar,NP,NP,Adj,sentient,physobj,*,AGNT,THME,RSLT
